N.º,Nombre del canal,Red,Vistas[1]​ (miles de millones),Contenido categoría[1]​,País,Idioma principal
1,T-Series[7]​,T-Series,230,Música,India,Hindi
2,Cocomelon - Nursery Rhymes[8]​,Moonbug Entertainment,166,Educación,Estados Unidos,Inglés
3,SET India[9]​,Culver Max Entertainment,150,Entretenimiento,India,Hindi
4,Sony SAB[10]​,Culver Max Entertainment,102,Entretenimiento,India,Hindi
5,Kids Diana Show[11]​,AIR,94.0,Viaje,Ucrania,Inglés
6,Like Nastya[12]​,Yoola,91.2,Entretenimiento,Rusia,Inglés e Ruso
7,WWE[13]​,WWE,78.2,Deportes,Estados Unidos,Inglés
8,Vlad and Niki[14]​,—,78.0,Entretenimiento,Estados Unidos,Inglés
9,Zee TV[15]​,Zee Entertainment Enterprises Limited,75.2,Música,India,Hindi
10,Colors TV[16]​,Viacom 18,62.8,Entretenimiento,India,Hindi
11,Movieclips[17]​,Movieclips,59.5,Películas,Estados Unidos,Inglés
12,Zee Music Company[18]​,Zee Entertainment Enterprises Limited,58.9,Música,India,Hindi
13,El Reino Infantil[19]​,Leader Music,58.0,Música,Argentina,Español
14,netd müzik[20]​,netd.com,56.6,Música,Turquía,Turco
15,Ryan's World[21]​,PocketWatch,55.5,Entretenimiento,Estados Unidos,Inglés
16,ABS-CBN Entertainment[22]​,ABS-CBN,50.5,Entretenimiento,Filipinas,Filipino
17,Toys and Colors[23]​,ONErpm,47.8,Entretenimiento,Estados Unidos,Inglés
18,ChuChu TV Nursery Rhymes & Kids Songs[24]​,ChuChu TV,46.3,Educación,India,Inglés
19,Super Simple Songs - Kids Songs[25]​,—,45.4,Educación,Canadá,Inglés
20,HAR PAL GEO[26]​,Geo Entertainment,42.5,Entretenimiento,Pakistán,Urdu
21,Wave Music[27]​,HT Mobile,40.8,Música,India,Portugués
22,ARY Digital HD[28]​,ARY Digital Network,39.6,Entretenimiento,Pakistán,Urdu
23,Little Baby Bum[29]​,—,39.5,Educación,Reino Unido,Inglés
24,Pinkfong![30]​,SmartStudy,39.3,Educación,Estados Unidos,Inglés
25,Canal Kondzilla[31]​,ONErpm,37.4,Música,Brasil,Portugués
26,Маша и Медведь[32]​,LetsonCorp,36.8,Películas,Rusia,Ruso
27,WorkpointOfficial[33]​,Workpoint Entertainment,36.3,Entretenimiento,Tailandia,Tailandés
28,YRF[34]​,YRF,35.9,Música,India,Hindi
29,Lanky Box[35]​,—,35.6,Juegos,Estados Unidos,Inglés
30,Tips Official[36]​,—,34.0,Música,India,Hindi
31,D Billions[37]​,—,32.7,Entretenimiento,Estados Unidos,Inglés
32,BLACKPINK[38]​,YG Entertainment,32.7,Música,Corea del sur,Coreano
33,LooLoo Kids - Nursery Rhymes and Children's Songs[39]​,—,32.6,Música,Estados Unidos,Inglés
34,Tsuriki Show[40]​,—,32.2,Comedia,Alemania,Inglés
35,Infobells - Hindi[41]​,Infobelle Interactive Solution,31.3,Educación,India,Hindi
36,Bad Bunny[42]​,—,31.1,Música,Puerto Rico,Español
37,Get Movies[43]​,LetsonCorp,31.0,Entretenimiento,Rusia,Ruso
38,JustinBieber[44]​,—,30.8,Música,Canadá,Inglés
39,Ed Sheeran[45]​,—,30.5,Música,Reino Unido,Inglés
40,Vijay Television[46]​,—,30.5,Entretenimiento,India,Tamil
41,Taylor Swift[47]​,—,30.4,Música,Estados Unidos,Inglés
42,MrBeast[48]​,—,30.3,Entretenimiento,Estados Unidos,Inglés
43,T-Series Bhakti Sagar[49]​,—,30.0,Música,India,Hindi
44,HYBE LABELS[50]​,—,29.4,Música,Corea del sur,Coreano
45,Ch3Thailand[51]​,Canal 3,29.2,Entretenimiento,Tailandia,Tailandés
46,StarPlus[52]​,—,29.1,Entretenimiento,India,Hindi
47,Sony Music India[53]​,Sony Music,29.1,Música,India,Hindi
48,PewDiePie[54]​,re6l,29.0,Juegos,Suecia,Inglés
49,Sony PAL[55]​,Culver Max Entertainment,29.0,Entretenimiento,India,Hindi
50,Shemaroo Filmi Gaane[56]​,Shemaroo Music,28.9,Música,India,Hindi
Al,Al,Al,Al,Al,Al,Al
