Año,Física,Química,Fisiología o Medicina,Literatura,Paz,Premio en Ciencias Económicas en memoria de Alfred Nobel
1901,Wilhelm Conrad Röntgen,Jacobus H. van 't Hoff,Emil von Behring,Sully Prudhomme,Henry Dunant; Frédéric Passy,—
1902,Hendrik A. Lorentz; Pieter Zeeman,Hermann Emil Fischer,Ronald Ross,Theodor Mommsen,Élie Ducommun; Albert Gobat,—
1903,Henri Becquerel; Pierre Curie; Marie Curie,Svante Arrhenius,Niels Ryberg Finsen,Bjørnstjerne Bjørnson,William Randal Cremer,—
1904,John William Strutt,William Ramsay,Ivan Pavlov,Frédéric Mistral; José Echegaray,Instituto de Derecho Internacional,—
1905,Philipp Lenard,Adolf von Baeyer,Robert Koch,Henryk Sienkiewicz,Bertha von Suttner,—
1906,J. J. Thomson,Henri Moissan,Camillo Golgi; Santiago Ramón y Cajal,Giosuè Carducci,Theodore Roosevelt,—
1907,Albert A. Michelson,Eduard Buchner,Charles Louis Alphonse Laveran,Rudyard Kipling,Ernesto Teodoro Moneta; Louis Renault,—
1908,Gabriel Lippmann,Ernest Rutherford,Ilya Ilyich Mechnikov; Paul Ehrlich,Rudolf Christoph Eucken,Klas Pontus Arnoldson; Fredrik Bajer,—
1909,Ferdinand Braun; Guglielmo Marconi,Wilhelm Ostwald,Emil Theodor Kocher,Selma Lagerlöf,Auguste Marie François Beernaert; Paul Henri d'Estournelles de Constant,—
1910,Johannes Diderik van der Waals,Otto Wallach,Albrecht Kossel,Paul Heyse,Oficina Internacional por la Paz,—
1911,Wilhelm Wien,Marie Curie,Allvar Gullstrand,Maurice Maeterlinck,Tobias Michael Carel Asser; Alfred Hermann Fried,—
1912,Gustaf Dalén,Victor Grignard; Paul Sabatier,Alexis Carrel,Gerhart Hauptmann,Elihu Root,—
1913,Heike Kamerlingh Onnes,Alfred Werner,Charles Richet,Rabindranath Tagore,Henri La Fontaine,—
1914,Max von Laue,Theodore William Richards,Robert Bárány,No se entregó,No se entregó,—
1915,William Henry Bragg; William Lawrence Bragg,Richard Martin Willstätter,No se entregó,Romain Rolland,No se entregó,—
1916,No se entregó,No se entregó,No se entregó,Verner von Heidenstam,No se entregó,—
1917,Charles Glover Barkla,No se entregó,No se entregó,Karl Adolph Gjellerup; Henrik Pontoppidan,Comité Internacional de la Cruz Roja,—
1918,Max Planck,Fritz Haber,No se entregó,No se entregó,No se entregó,—
1919,Johannes Stark,No se entregó,Jules Bordet,Carl Spitteler,Woodrow Wilson,—
1920,Charles Edouard Guillaume,Walther Hermann Nernst,August Krogh,Knut Hamsun,Léon Bourgeois,—
1921,Albert Einstein,Frederick Soddy,No se entregó,Anatole France,Hjalmar Branting; Christian Lous Lange,—
1922,Niels Bohr,Francis William Aston,Archibald Hill; Otto Fritz Meyerhof,Jacinto Benavente,Fridtjof Nansen,—
1923,Robert A. Millikan,Fritz Pregl,Frederick Banting; John James Richard Macleod,William Butler Yeats,No se entregó,—
1924,Manne Siegbahn,No se entregó,Willem Einthoven,Władysław Reymont,No se entregó,—
1925,James Franck; Gustav Hertz,Richard Adolf Zsigmondy,No se entregó,George Bernard Shaw,Austen Chamberlain; Charles G. Dawes,—
1926,Jean Baptiste Perrin,Theodor Svedberg,Johannes Andreas Grib Fibiger,Grazia Deledda,Aristide Briand; Gustav Stresemann,—
1927,Arthur Compton; Charles Thomson Rees Wilson,Heinrich Otto Wieland,Julius Wagner-Jauregg,Henri Bergson,Ferdinand Buisson; Ludwig Quidde,—
1928,Owen Willans Richardson,Adolf Otto Reinhold Windaus,Charles Nicolle,Sigrid Undset,No se entregó,—
1929,Louis de Broglie,Arthur Harden; Hans von Euler-Chelpin,Christiaan Eijkman; Frederick Gowland Hopkins,Thomas Mann,Frank B. Kellogg,—
1930,C. Venkata Raman,Hans Fischer,Karl Landsteiner,Sinclair Lewis,Nathan Söderblom,—
1931,No se entregó,Carl Bosch; Friedrich Bergius,Otto Heinrich Warburg,Erik Axel Karlfeldt,Jane Addams; Nicholas Murray Butler,—
1932,Werner Heisenberg,Irving Langmuir,Charles Scott Sherrington; Edgar Douglas Adrian,John Galsworthy,No se entregó,—
1933,Erwin Schrödinger; Paul Dirac,No se entregó,Thomas Hunt Morgan,Ivan Bunin,Norman Angell,—
1934,No se entregó,Harold Clayton Urey,George Whipple; George Minot; William P. Murphy,Luigi Pirandello,Arthur Henderson,—
1935,James Chadwick,Frédéric Joliot-Curie; Irene Joliot-Curie,Hans Spemann,No se entregó,Carl von Ossietzky,—
1936,Victor F. Hess; Carl D. Anderson,Peter Debye,Henry Hallett Dale; Otto Loewi,Eugene O'Neill,Carlos Saavedra Lamas,—
1937,Clinton Davisson; George Paget Thomson,Walter Haworth; Paul Karrer,Albert Szent-Györgyi,Roger Martin du Gard,Robert Cecil,—
1938,Enrico Fermi,Richard Kuhn,Corneille Heymans,Pearl S. Buck,Oficina Internacional Nansen para los Refugiados,—
1939,Ernest Lawrence,Adolf Butenandt; Lavoslav Ružička,Gerhard Domagk,Frans Eemil Sillanpää,No se entregó,—
1940,No se entregó,No se entregó,No se entregó,No se entregó,No se entregó,—
1941,No se entregó,No se entregó,No se entregó,No se entregó,No se entregó,—
1942,No se entregó,No se entregó,No se entregó,No se entregó,No se entregó,—
1943,Otto Stern,George de Hevesy,Henrik Dam; Edward Adelbert Doisy,No se entregó,No se entregó,—
1944,Isidor Isaac Rabi,Otto Hahn,Joseph Erlanger; Herbert Spencer Gasser,Johannes Vilhelm Jensen,Comité Internacional de la Cruz Roja,—
1945,Wolfgang Pauli,Artturi Ilmari Virtanen,Alexander Fleming; Ernst Boris Chain; Howard Walter Florey,Gabriela Mistral,Cordell Hull,—
1946,Percy W. Bridgman,James B. Sumner; John Howard Northrop; Wendell Meredith Stanley,Hermann Joseph Muller,Hermann Hesse,Emily Greene Balch; John Mott,—
1947,Edward V. Appleton,Robert Robinson,Carl Ferdinand Cori; Gerty Theresa Cori; Bernardo Houssay,André Gide,Friends Service Council; American Friends Service Committee,—
1948,Patrick M.S. Blackett,Arne Tiselius,Paul Hermann Müller,T. S. Eliot,No se entregó,—
1949,Hideki Yukawa,William Francis Giauque,Walter Rudolf Hess; António Egas Moniz,William Faulkner,John Boyd Orr,—
1950,Cecil Powell,Otto Diels; Kurt Alder,Philip Showalter Hench; Edward Calvin Kendall; Tadeus Reichstein,Bertrand Russell,Ralph Bunche,—
1951,John Cockcroft; Ernest T.S. Walton,Edwin McMillan; Glenn T. Seaborg,Max Theiler,Pär Lagerkvist,Léon Jouhaux,—
1952,Felix Bloch; Edward M. Purcell,Archer John Porter Martin; Richard Laurence Millington Synge,Selman Waksman,François Mauriac,Albert Schweitzer,—
1953,Frits Zernike,Hermann Staudinger,Hans Adolf Krebs; Fritz Albert Lipmann,Winston Churchill,George Marshall,—
1954,Max Born; Walther Bothe,Linus Pauling,John Franklin Enders; Frederick Chapman Robbins; Thomas Huckle Weller,Ernest Hemingway,Alto Comisionado de las Naciones Unidas para los Refugiados,—
1955,Willis E. Lamb; Polykarp Kusch,Vincent du Vigneaud,Hugo Theorell,Halldór Laxness,No se entregó,—
1956,William B. Shockley; John Bardeen; Walter H. Brattain,Cyril Norman Hinshelwood; Nikolay Nikolaevich Semenov,André Frédéric Cournand; Werner Forssmann; Dickinson W. Richards,Juan Ramón Jiménez,No se entregó,—
1957,Chen Ning Yang; Tsung-Dao Lee,Alexander Robert Todd,Daniel Bovet,Albert Camus,Lester B. Pearson,—
1958,Pável Cherenkov; Iliá Frank; Ígor Tamm,Frederick Sanger,George Wells Beadle; Edward Lawrie Tatum; Joshua Lederberg,Boris Pasternak,Georges Pire,—
1959,Emilio Segrè; Owen Chamberlain,Jaroslav Heyrovský,Arthur Kornberg; Severo Ochoa,Salvatore Quasimodo,Philip J. Noel-Baker,—
1960,Donald A. Glaser,Willard Libby,Frank Macfarlane Burnet; Peter Medawar,Saint-John Perse,Albert Lutuli,—
1961,Robert Hofstadter; Rudolf Mössbauer,Melvin Calvin,Georg von Békésy,Ivo Andrić,Dag Hammarskjöld,—
1962,Lev Landáu,Max Perutz; John Kendrew,Francis Crick; James D. Watson; Maurice Wilkins,John Steinbeck,Linus Pauling,—
1963,Eugene Wigner; Maria Goeppert-Mayer; J. Hans D. Jensen,Karl Ziegler; Giulio Natta,John Carew Eccles; Alan Lloyd Hodgkin; Andrew Huxley,Giorgos Seferis,Comité Internacional de la Cruz Roja; Federación Internacional de Sociedades de la Cruz Roja y de la Media Luna Roja,—
1964,Charles H. Townes; Nikolái Básov; Aleksandr Prójorov,Dorothy Crowfoot Hodgkin,Konrad Emil Bloch; Feodor Lynen,Jean-Paul Sartre,"Martin Luther King, Jr.",—
1965,Sin-Itiro Tomonaga; Julian Schwinger; Richard P. Feynman,Robert Burns Woodward,François Jacob; André Michel Lwoff; Jacques Monod,Mijaíl Sholojov,Fondo de Naciones Unidas para la Infancia (Unicef),—
1966,Alfred Kastler,Robert S. Mulliken,Francis Peyton Rous; Charles Brenton Huggins,Shmuel Yosef Agnon; Nelly Sachs,No se entregó,—
1967,Hans Bethe,Manfred Eigen; Ronald George Wreyford Norrish; George Porter,Ragnar Granit; Haldan Keffer Hartline; George Wald,Miguel Ángel Asturias,No se entregó,—
1968,Luis Walter Álvarez,Lars Onsager,Robert W. Holley; Har Gobind Khorana; Marshall Warren Nirenberg,Yasunari Kawabata,René Cassin,—
